Freq.	Cap.	Loss	Voltage	Time
Hz	pF	tan d 	V	
50.000	8.7324	2.20527	0.0375	02-09-2019-14:28:59
50.000	8.7348	2.20895	0.0375	02-09-2019-14:29:20
50.000	8.7366	2.21259	0.0375	02-09-2019-14:29:40
50.000	8.7372	2.21629	0.0375	02-09-2019-14:30:01
60.000	8.5673	1.92450	0.0450	02-09-2019-14:30:20
60.000	8.5692	1.92708	0.0450	02-09-2019-14:30:39
60.000	8.5699	1.92976	0.0450	02-09-2019-14:30:59
60.000	8.5710	1.93213	0.0450	02-09-2019-14:31:18
80.000	8.2499	1.56618	0.100	02-09-2019-14:31:30
80.000	8.2507	1.56729	0.100	02-09-2019-14:31:43
80.000	8.25178	1.56840	0.100	02-09-2019-14:31:55
80.000	8.25299	1.56946	0.100	02-09-2019-14:32:08
100.00	7.97728	1.34738	0.100	02-09-2019-14:32:19
100.00	7.97799	1.348124	0.100	02-09-2019-14:32:30
100.00	7.97915	1.348787	0.100	02-09-2019-14:32:40
100.00	7.97981	1.349537	0.100	02-09-2019-14:32:51
120.00	7.74585	1.198381	0.100	02-09-2019-14:33:02
120.00	7.74667	1.19897	0.100	02-09-2019-14:33:12
120.00	7.74779	1.199485	0.100	02-09-2019-14:33:22
120.00	7.74831	1.200075	0.100	02-09-2019-14:33:33
160.00	7.37700	1.003416	0.100	02-09-2019-14:33:40
160.00	7.37743	1.003733	0.100	02-09-2019-14:33:46
160.00	7.37813	1.003979	0.100	02-09-2019-14:33:53
160.00	7.37868	1.004301	0.100	02-09-2019-14:34:00
200.00	7.09724	0.879737	0.100	02-09-2019-14:34:06
200.00	7.09769	0.879951	0.100	02-09-2019-14:34:12
200.00	7.09801	0.880211	0.100	02-09-2019-14:34:18
200.00	7.09874	0.880384	0.100	02-09-2019-14:34:24
240.00	6.87722	0.792770	0.100	02-09-2019-14:34:31
240.00	6.87771	0.792992	0.100	02-09-2019-14:34:37
240.00	6.87819	0.793182	0.100	02-09-2019-14:34:43
240.00	6.87849	0.793380	0.100	02-09-2019-14:34:49
320.00	6.54789	0.675929	0.100	02-09-2019-14:34:52
