Freq.	Cap.	Loss	Voltage	Time
Hz	pF	tan d 	V	
100.00	6.89490	0.843131	0.100	03-18-2019-14:02:06
100.00	6.89573	0.843506	0.100	03-18-2019-14:02:17
100.00	6.89655	0.843878	0.100	03-18-2019-14:02:28
100.00	6.89741	0.844235	0.100	03-18-2019-14:02:39
800.00	5.0811	0.28769	0.100	03-18-2019-14:02:40
800.00	5.0810	0.28767	0.100	03-18-2019-14:02:41
800.00	5.0809	0.28768	0.100	03-18-2019-14:02:42
800.00	5.0811	0.28769	0.100	03-18-2019-14:02:42
200.00	6.13529	0.576086	0.100	03-18-2019-14:02:49
200.00	6.13569	0.576200	0.100	03-18-2019-14:02:55
200.00	6.13599	0.576332	0.100	03-18-2019-14:03:01
200.00	6.13660	0.576405	0.100	03-18-2019-14:03:07
600.00	5.2546	0.33052	0.100	03-18-2019-14:03:08
600.00	5.25466	0.330536	0.100	03-18-2019-14:03:09
600.00	5.25466	0.33049	0.100	03-18-2019-14:03:10
600.00	5.2552	0.33052	0.100	03-18-2019-14:03:12
160.00	6.36547	0.650039	0.100	03-18-2019-14:03:19
160.00	6.365639	0.650243	0.100	03-18-2019-14:03:26
160.00	6.36642	0.650341	0.100	03-18-2019-14:03:32
160.00	6.36702	0.650491	0.100	03-18-2019-14:03:39
4000.0	4.42233	0.14058	0.100	03-18-2019-14:03:40
4000.0	4.42265	0.14054	0.100	03-18-2019-14:03:40
4000.0	4.42251	0.14050	0.100	03-18-2019-14:03:41
4000.0	4.42243	0.140550	0.100	03-18-2019-14:03:42
2000.0	4.6543	0.18939	0.100	03-18-2019-14:03:42
2000.0	4.65430	0.18929	0.100	03-18-2019-14:03:43
2000.0	4.65438	0.18934	0.100	03-18-2019-14:03:44
2000.0	4.6545	0.18936	0.100	03-18-2019-14:03:44
6000.0	4.313	0.1190	0.100	03-18-2019-14:03:45
6000.0	4.313	0.1192	0.100	03-18-2019-14:03:46
6000.0	4.315	0.1185	0.100	03-18-2019-14:03:46
6000.0	4.315	0.1192	0.100	03-18-2019-14:03:47
1000.0	4.96314	0.259547	0.100	03-18-2019-14:03:48
1000.0	4.9632	0.25955	0.100	03-18-2019-14:03:49
1000.0	4.9634	0.25958	0.100	03-18-2019-14:03:50
1000.0	4.9632	0.25957	0.100	03-18-2019-14:03:51
8000.0	4.2465	0.10625	0.100	03-18-2019-14:03:52
8000.0	4.2467	0.10614	0.100	03-18-2019-14:03:52
8000.0	4.2465	0.10629	0.100	03-18-2019-14:03:53
8000.0	4.2468	0.10631	0.100	03-18-2019-14:03:53
2400.0	4.58712	0.17501	0.100	03-18-2019-14:03:54
2400.0	4.58694	0.17505	0.100	03-18-2019-14:03:55
2400.0	4.5870	0.17501	0.100	03-18-2019-14:03:56
2400.0	4.58698	0.17500	0.100	03-18-2019-14:03:56
3200.0	4.49030	0.154488	0.100	03-18-2019-14:03:57
3200.0	4.49052	0.15446	0.100	03-18-2019-14:03:58
3200.0	4.49050	0.15445	0.100	03-18-2019-14:03:58
3200.0	4.49048	0.154490	0.100	03-18-2019-14:03:59
120.00	6.68808	0.763398	0.100	03-18-2019-14:04:09
120.00	6.68897	0.763787	0.100	03-18-2019-14:04:20
120.00	6.68941	0.764091	0.100	03-18-2019-14:04:30
120.00	6.69042	0.764339	0.100	03-18-2019-14:04:40
240.00	5.96845	0.525439	0.100	03-18-2019-14:04:46
240.00	5.96862	0.525551	0.100	03-18-2019-14:04:52
240.00	5.96893	0.525611	0.100	03-18-2019-14:04:58
240.00	5.96926	0.525736	0.100	03-18-2019-14:05:04
1200.0	4.875	0.2391	0.100	03-18-2019-14:05:05
1200.0	4.875	0.2391	0.100	03-18-2019-14:05:05
1200.0	4.875	0.2391	0.100	03-18-2019-14:05:06
1200.0	4.875	0.2391	0.100	03-18-2019-14:05:07
320.00	5.71798	0.453347	0.100	03-18-2019-14:05:10
320.00	5.71817	0.453368	0.100	03-18-2019-14:05:13
320.00	5.71846	0.453410	0.100	03-18-2019-14:05:16
320.00	5.71846	0.453475	0.100	03-18-2019-14:05:19
20000.0	4.0751	0.07548	0.100	03-18-2019-14:05:20
20000.0	4.0748	0.07548	0.100	03-18-2019-14:05:21
20000.0	4.0749	0.07546	0.100	03-18-2019-14:05:21
20000.0	4.0748	0.07546	0.100	03-18-2019-14:05:22
60.000	7.55528	1.15703	0.0900	03-18-2019-14:05:41
60.000	7.55712	1.157864	0.0900	03-18-2019-14:06:01
60.000	7.55804	1.158758	0.0900	03-18-2019-14:06:20
60.000	7.55972	1.159597	0.0900	03-18-2019-14:06:39
1600.0	4.74839	0.210195	0.100	03-18-2019-14:06:40
1600.0	4.74859	0.21018	0.100	03-18-2019-14:06:41
1600.0	4.7485	0.21021	0.100	03-18-2019-14:06:41
1600.0	4.7486	0.21016	0.100	03-18-2019-14:06:42
10000.0	4.2012	0.09783	0.100	03-18-2019-14:06:43
10000.0	4.2011	0.09788	0.100	03-18-2019-14:06:43
10000.0	4.2012	0.09785	0.100	03-18-2019-14:06:44
10000.0	4.2009	0.09781	0.100	03-18-2019-14:06:45
80.000	7.19226	0.971869	0.100	03-18-2019-14:06:57
80.000	7.19315	0.972280	0.100	03-18-2019-14:07:10
80.000	7.19358	0.972774	0.100	03-18-2019-14:07:22
80.000	7.19434	0.973199	0.100	03-18-2019-14:07:34
16000.0	4.1132	0.0821	0.100	03-18-2019-14:07:35
16000.0	4.1130	0.0820	0.100	03-18-2019-14:07:36
16000.0	4.1130	0.0821	0.100	03-18-2019-14:07:36
16000.0	4.1132	0.0821	0.100	03-18-2019-14:07:37
12000.0	4.16511	0.09133	0.100	03-18-2019-14:07:38
12000.0	4.16536	0.09138	0.100	03-18-2019-14:07:38
12000.0	4.16529	0.09133	0.100	03-18-2019-14:07:39
12000.0	4.16542	0.091330	0.100	03-18-2019-14:07:40
50.000	7.80126	1.30853	0.0750	03-18-2019-14:08:00
50.000	7.80274	1.309448	0.0750	03-18-2019-14:08:21
50.000	7.80412	1.31046	0.0750	03-18-2019-14:08:41
50.000	7.8052	1.31151	0.0750	03-18-2019-14:09:02
5000.0	4.36539	0.12920	0.100	03-18-2019-14:09:02
5000.0	4.36541	0.12914	0.100	03-18-2019-14:09:03
5000.0	4.36557	0.12916	0.100	03-18-2019-14:09:04
5000.0	4.36529	0.12915	0.100	03-18-2019-14:09:04
500.00	5.389410	0.365066	0.100	03-18-2019-14:09:07
500.00	5.38966	0.365061	0.100	03-18-2019-14:09:10
500.00	5.389664	0.365089	0.100	03-18-2019-14:09:13
500.00	5.38974	0.365130	0.100	03-18-2019-14:09:15
400.00	5.55195	0.407943	0.100	03-18-2019-14:09:18
400.00	5.55201	0.407965	0.100	03-18-2019-14:09:21
400.00	5.55217	0.408020	0.100	03-18-2019-14:09:24
400.00	5.55225	0.408048	0.100	03-18-2019-14:09:27
