Freq.	Cap.	Loss	Voltage	Time
Hz	pF	tan d 	V	
1600.0	2523.7	7.629	0.00100	05-03-2019-16:22:13
1600.0	2521.3	7.628	0.00100	05-03-2019-16:22:14
1600.0	2517.7	7.6303	0.00100	05-03-2019-16:22:15
1600.0	2513.6	7.6348	0.00100	05-03-2019-16:22:15
				05-03-2019-16:22:17
				05-03-2019-16:22:18
				05-03-2019-16:22:20
				05-03-2019-16:22:21
3200.0	1254.2	7.830	0.00100	05-03-2019-16:22:22
3200.0	1253.5	7.8268	0.00100	05-03-2019-16:22:23
3200.0	1252.5	7.826	0.00100	05-03-2019-16:22:23
3200.0	1251.1	7.8275	0.00100	05-03-2019-16:22:24
12000.0	651.50	4.1524	0.00300	05-03-2019-16:22:25
12000.0	651.35	4.14999	0.00300	05-03-2019-16:22:25
12000.0	651.38	4.1464	0.00300	05-03-2019-16:22:26
12000.0	651.22	4.1440	0.00300	05-03-2019-16:22:27
5000.0	912.1	6.9468	0.00300	05-03-2019-16:22:28
5000.0	911.8	6.9435	0.00300	05-03-2019-16:22:28
5000.0	911.16	6.9434	0.00300	05-03-2019-16:22:29
5000.0	910.5	6.943	0.00300	05-03-2019-16:22:30
4000.0	1050.0	7.468	0.00300	05-03-2019-16:22:30
4000.0	1049.4	7.4659	0.00300	05-03-2019-16:22:31
4000.0	1048.7	7.465	0.00300	05-03-2019-16:22:32
4000.0	1048.4	7.462	0.00300	05-03-2019-16:22:32
6000.0	824.91	6.3957	0.00300	05-03-2019-16:22:33
6000.0	824.80	6.3920	0.00300	05-03-2019-16:22:34
6000.0	824.33	6.3912	0.00300	05-03-2019-16:22:35
6000.0	824.15	6.3885	0.00300	05-03-2019-16:22:35
				05-03-2019-16:22:37
				05-03-2019-16:22:39
				05-03-2019-16:22:41
				05-03-2019-16:22:42
20000.0	597.911	2.69006	0.0100	05-03-2019-16:22:43
20000.0	597.83	2.6889	0.0100	05-03-2019-16:22:44
20000.0	597.84	2.6874	0.0100	05-03-2019-16:22:45
20000.0	597.826	2.68599	0.0100	05-03-2019-16:22:45
8000.0	727.98	5.4133	0.00300	05-03-2019-16:22:46
8000.0	727.84	5.4116	0.00300	05-03-2019-16:22:47
8000.0	727.64	5.4105	0.00300	05-03-2019-16:22:47
8000.0	727.45	5.4090	0.00300	05-03-2019-16:22:48
2000.0	1900.8	7.894	0.00100	05-03-2019-16:22:49
2000.0	1900.2	7.892	0.00100	05-03-2019-16:22:50
2000.0	1899.0	7.893	0.00100	05-03-2019-16:22:50
2000.0	1898.4	7.891	0.00100	05-03-2019-16:22:51
2400.0	1583.0	7.949	0.00100	05-03-2019-16:22:52
2400.0	1581.05	7.9554	0.00100	05-03-2019-16:22:52
2400.0	1580.1	7.9558	0.00100	05-03-2019-16:22:53
2400.0	1581.4	7.9454	0.00100	05-03-2019-16:22:54
16000.0	615.00	3.22967	0.0100	05-03-2019-16:22:55
16000.0	614.96	3.22850	0.0100	05-03-2019-16:22:55
16000.0	614.91	3.22736	0.0100	05-03-2019-16:22:56
16000.0	614.857	3.22629	0.0100	05-03-2019-16:22:57
				05-03-2019-16:22:58
				05-03-2019-16:23:00
				05-03-2019-16:23:02
				05-03-2019-16:23:04
				05-03-2019-16:23:05
				05-03-2019-16:23:07
				05-03-2019-16:23:08
				05-03-2019-16:23:10
10000.0	676.38	4.6164	0.00300	05-03-2019-16:23:11
10000.0	676.24	4.6156	0.00300	05-03-2019-16:23:11
10000.0	676.29	4.6141	0.00300	05-03-2019-16:23:12
10000.0	676.16	4.6137	0.00300	05-03-2019-16:23:13
