Freq.	Cap.	Loss	Voltage	Time
Hz	pF	tan d 	V	
3200.0	82.9141	0.843717	0.100	06-19-2019-16:24:55
3200.0	82.91316	0.8436257	0.100	06-19-2019-16:24:56
3200.0	82.9125	0.843562	0.100	06-19-2019-16:24:57
3200.0	82.9117	0.843470	0.100	06-19-2019-16:24:57
4000.0	81.0922	0.714612	0.100	06-19-2019-16:24:58
4000.0	81.0915	0.714532	0.100	06-19-2019-16:24:59
4000.0	81.0909	0.714467	0.100	06-19-2019-16:24:59
4000.0	81.0900	0.714409	0.100	06-19-2019-16:25:00
1000.0	95.8427	2.07840	0.100	06-19-2019-16:25:01
1000.0	95.8403	2.07813	0.100	06-19-2019-16:25:02
1000.0	95.8400	2.07786	0.100	06-19-2019-16:25:03
1000.0	95.8375	2.07757	0.100	06-19-2019-16:25:04
8000.0	75.9751	0.439961	0.100	06-19-2019-16:25:05
8000.0	75.9747	0.439929	0.100	06-19-2019-16:25:05
8000.0	75.9735	0.439899	0.100	06-19-2019-16:25:06
8000.0	75.9732	0.439859	0.100	06-19-2019-16:25:07
2400.0	85.4197	1.048985	0.100	06-19-2019-16:25:08
2400.0	85.4206	1.048888	0.100	06-19-2019-16:25:08
2400.0	85.4169	1.048804	0.100	06-19-2019-16:25:09
2400.0	85.4171	1.048685	0.100	06-19-2019-16:25:10
60.000	702.0	3.9588	0.000180	06-19-2019-16:25:37
60.000	697.9	3.966	0.000180	06-19-2019-16:26:05
60.000	692.3	3.980	0.000180	06-19-2019-16:26:33
60.000	689.1	3.9822	0.000180	06-19-2019-16:27:01
1200.0	92.8992	1.77462	0.100	06-19-2019-16:27:01
1200.0	92.8979	1.774434	0.100	06-19-2019-16:27:02
1200.0	92.8964	1.774246	0.100	06-19-2019-16:27:03
1200.0	92.8957	1.774044	0.100	06-19-2019-16:27:04
500.00	112.356	3.34603	0.0150	06-19-2019-16:27:07
500.00	112.344	3.34481	0.0150	06-19-2019-16:27:09
500.00	112.321	3.34397	0.0150	06-19-2019-16:27:12
