Freq.	Cap.	Loss	Voltage	Time
Hz	pF	tan d 	V	
3200.0	82.3731	0.787720	0.100	06-19-2019-16:33:48
3200.0	82.3726	0.787657	0.100	06-19-2019-16:33:48
3200.0	82.3709	0.787603	0.100	06-19-2019-16:33:49
3200.0	82.3705	0.787506	0.100	06-19-2019-16:33:50
10000.0	74.0264	0.359768	0.100	06-19-2019-16:33:50
10000.0	74.02628	0.3597359	0.100	06-19-2019-16:33:51
10000.0	74.0260	0.359703	0.100	06-19-2019-16:33:52
10000.0	74.0252	0.359692	0.100	06-19-2019-16:33:52
4000.0	80.5587	0.668623	0.100	06-19-2019-16:33:53
4000.0	80.5581	0.668568	0.100	06-19-2019-16:33:54
4000.0	80.55777	0.668510	0.100	06-19-2019-16:33:55
4000.0	80.55755	0.668447	0.100	06-19-2019-16:33:55
800.00	98.6036	2.28601	0.0800	06-19-2019-16:33:56
800.00	98.6003	2.28569	0.0800	06-19-2019-16:33:57
800.00	98.5999	2.28535	0.0800	06-19-2019-16:33:58
800.00	98.5975	2.28507	0.0800	06-19-2019-16:33:59
2000.0	86.5589	1.123714	0.100	06-19-2019-16:34:00
2000.0	86.5571	1.123601	0.100	06-19-2019-16:34:01
2000.0	86.5578	1.123487	0.100	06-19-2019-16:34:02
2000.0	86.5558	1.123397	0.100	06-19-2019-16:34:02
16000.0	71.2318	0.269503	0.100	06-19-2019-16:34:03
16000.0	71.2314	0.269485	0.100	06-19-2019-16:34:04
16000.0	71.2305	0.269463	0.100	06-19-2019-16:34:04
16000.0	71.2304	0.269446	0.100	06-19-2019-16:34:05
6000.0	77.4808	0.502425	0.100	06-19-2019-16:34:06
6000.0	77.4796	0.502409	0.100	06-19-2019-16:34:06
6000.0	77.4794	0.502358	0.100	06-19-2019-16:34:07
6000.0	77.4786	0.502314	0.100	06-19-2019-16:34:08
8000.0	75.4701	0.414535	0.100	06-19-2019-16:34:08
8000.0	75.4700	0.414505	0.100	06-19-2019-16:34:09
8000.0	75.4695	0.414478	0.100	06-19-2019-16:34:10
8000.0	75.4689	0.414447	0.100	06-19-2019-16:34:10
5000.0	78.82097	0.569447	0.100	06-19-2019-16:34:11
5000.0	78.8216	0.569387	0.100	06-19-2019-16:34:12
5000.0	78.8212	0.569345	0.100	06-19-2019-16:34:12
5000.0	78.8198	0.569297	0.100	06-19-2019-16:34:13
1200.0	92.2275	1.670884	0.100	06-19-2019-16:34:14
1200.0	92.2250	1.67074	0.100	06-19-2019-16:34:15
1200.0	92.2231	1.670620	0.100	06-19-2019-16:34:15
1200.0	92.2226	1.67033	0.100	06-19-2019-16:34:16
1600.0	88.8200	1.333782	0.100	06-19-2019-16:34:17
1600.0	88.8200	1.333641	0.100	06-19-2019-16:34:18
1600.0	88.81639	1.3335368	0.100	06-19-2019-16:34:18
1600.0	88.8169	1.333399	0.100	06-19-2019-16:34:19
1000.0	94.778	1.92313	0.100	06-19-2019-16:34:20
1000.0	94.7785	1.922839	0.100	06-19-2019-16:34:21
1000.0	94.7758	1.92263	0.100	06-19-2019-16:34:22
1000.0	94.774	1.92236	0.100	06-19-2019-16:34:23
20000.0	70.03288	0.236244	0.100	06-19-2019-16:34:24
20000.0	70.0321	0.236233	0.100	06-19-2019-16:34:24
20000.0	70.03211	0.2362109	0.100	06-19-2019-16:34:25
20000.0	70.03147	0.2362008	0.100	06-19-2019-16:34:26
600.00	104.902	2.80562	0.0180	06-19-2019-16:34:27
600.00	104.901	2.8051	0.0180	06-19-2019-16:34:28
600.00	104.897	2.80486	0.0180	06-19-2019-16:34:29
600.00	104.891	2.80458	0.0180	06-19-2019-16:34:30
12000.0	72.86628	0.3197716	0.100	06-19-2019-16:34:30
12000.0	72.8655	0.319749	0.100	06-19-2019-16:34:31
12000.0	72.8649	0.319725	0.100	06-19-2019-16:34:32
12000.0	72.8641	0.319704	0.100	06-19-2019-16:34:33
2400.0	84.8182	0.972503	0.100	06-19-2019-16:34:33
2400.0	84.8188	0.972375	0.100	06-19-2019-16:34:34
2400.0	84.8184	0.972281	0.100	06-19-2019-16:34:35
2400.0	84.8176	0.972188	0.100	06-19-2019-16:34:35
