Freq.	Cap.	Loss	Voltage	Time
Hz	pF	tan d 	V	
120.00	223.45	5.0438	0.00120	06-19-2019-16:55:12
120.00	223.27	5.0400	0.00120	06-19-2019-16:55:22
120.00	222.95	5.0405	0.00120	06-19-2019-16:55:32
120.00	222.62	5.0406	0.00120	06-19-2019-16:55:42
3200.0	81.1218	0.676832	0.100	06-19-2019-16:55:43
3200.0	81.1209	0.676800	0.100	06-19-2019-16:55:44
3200.0	81.1204	0.676756	0.100	06-19-2019-16:55:45
3200.0	81.1195	0.676707	0.100	06-19-2019-16:55:45
400.00	112.177	3.18061	0.0120	06-19-2019-16:55:48
400.00	112.166	3.17967	0.0120	06-19-2019-16:55:51
400.00	112.153	3.17876	0.0120	06-19-2019-16:55:54
400.00	112.136	3.17789	0.0120	06-19-2019-16:55:57
100.00	264.24	5.0230	0.00100	06-19-2019-16:56:08
100.00	263.92	5.0208	0.00100	06-19-2019-16:56:19
100.00	263.32	5.0254	0.00100	06-19-2019-16:56:29
100.00	262.953	5.0250	0.00100	06-19-2019-16:56:40
200.00	151.067	4.5335	0.00600	06-19-2019-16:56:46
200.00	150.993	4.5319	0.00600	06-19-2019-16:56:52
200.00	150.920	4.5304	0.00600	06-19-2019-16:56:58
200.00	150.869	4.5282	0.00600	06-19-2019-16:57:04
160.00	174.595	4.8336	0.00160	06-19-2019-16:57:10
160.00	174.34	4.8362	0.00160	06-19-2019-16:57:17
160.00	174.24	4.8348	0.00160	06-19-2019-16:57:23
160.00	174.20	4.8320	0.00160	06-19-2019-16:57:30
800.00	95.8769	1.912158	0.0800	06-19-2019-16:57:31
800.00	95.8759	1.911902	0.0800	06-19-2019-16:57:32
800.00	95.875	1.91163	0.0800	06-19-2019-16:57:33
800.00	95.8733	1.911464	0.0800	06-19-2019-16:57:34
60.000	464.24	4.5179	0.000600	06-19-2019-16:57:52
60.000	462.5	4.5241	0.000600	06-19-2019-16:58:11
60.000	460.94	4.5296	0.000600	06-19-2019-16:58:30
60.000	459.66	4.5296	0.000600	06-19-2019-16:58:48
8000.0	74.2290	0.359307	0.100	06-19-2019-16:58:49
8000.0	74.2282	0.359282	0.100	06-19-2019-16:58:50
8000.0	74.2285	0.359262	0.100	06-19-2019-16:58:50
8000.0	74.2277	0.359244	0.100	06-19-2019-16:58:51
1200.0	90.317	1.38527	0.100	06-19-2019-16:58:52
1200.0	90.3168	1.385162	0.100	06-19-2019-16:58:53
1200.0	90.3148	1.385019	0.100	06-19-2019-16:58:53
1200.0	90.31299	1.3849129	0.100	06-19-2019-16:58:54
5000.0	77.4815	0.487276	0.100	06-19-2019-16:58:55
5000.0	77.4808	0.487249	0.100	06-19-2019-16:58:56
5000.0	77.4806	0.487205	0.100	06-19-2019-16:58:56
5000.0	77.4798	0.487181	0.100	06-19-2019-16:58:57
2000.0	85.0417	0.936304	0.100	06-19-2019-16:58:58
2000.0	85.0415	0.936215	0.100	06-19-2019-16:58:58
2000.0	85.0397	0.936175	0.100	06-19-2019-16:58:59
2000.0	85.0396	0.936062	0.100	06-19-2019-16:59:00
2400.0	83.3874	0.817128	0.100	06-19-2019-16:59:01
2400.0	83.3882	0.817056	0.100	06-19-2019-16:59:01
2400.0	83.3869	0.816996	0.100	06-19-2019-16:59:02
2400.0	83.3870	0.816952	0.100	06-19-2019-16:59:03
600.00	100.867	2.34784	0.0180	06-19-2019-16:59:04
600.00	100.858	2.34764	0.0180	06-19-2019-16:59:05
600.00	100.858	2.34731	0.0180	06-19-2019-16:59:06
600.00	100.844	2.34732	0.0180	06-19-2019-16:59:07
16000.0	70.17141	0.2369586	0.100	06-19-2019-16:59:08
16000.0	70.1704	0.236953	0.100	06-19-2019-16:59:08
16000.0	70.17039	0.2369380	0.100	06-19-2019-16:59:09
16000.0	70.1699	0.236916	0.100	06-19-2019-16:59:10
320.00	119.882	3.5766	0.0096	06-19-2019-16:59:13
320.00	119.860	3.57570	0.0096	06-19-2019-16:59:16
320.00	119.833	3.5751	0.0096	06-19-2019-16:59:19
320.00	119.817	3.57405	0.0096	06-19-2019-16:59:22
50.000	572.4	4.255	0.000150	06-19-2019-16:59:51
50.000	569.1	4.264	0.000150	06-19-2019-17:00:20
50.000	567.8	4.258	0.000150	06-19-2019-17:00:50
50.000	563.15	4.2771	0.000150	06-19-2019-17:01:19
1600.0	87.0618	1.091591	0.100	06-19-2019-17:01:20
