Freq.	Cap.	Loss	Voltage	Time
Hz	pF	tan d 	V	
16000.0	70.0136	0.232426	0.100	06-19-2019-17:03:22
16000.0	70.0131	0.232410	0.100	06-19-2019-17:03:23
16000.0	70.0123	0.232402	0.100	06-19-2019-17:03:24
16000.0	70.0121	0.232388	0.100	06-19-2019-17:03:24
800.00	95.3367	1.835544	0.0800	06-19-2019-17:03:25
800.00	95.3360	1.83531	0.0800	06-19-2019-17:03:26
800.00	95.3338	1.835121	0.0800	06-19-2019-17:03:27
800.00	95.3350	1.834903	0.0800	06-19-2019-17:03:28
4000.0	78.9416	0.552453	0.100	06-19-2019-17:03:29
4000.0	78.94087	0.5524308	0.100	06-19-2019-17:03:30
4000.0	78.9402	0.552373	0.100	06-19-2019-17:03:30
4000.0	78.9394	0.552359	0.100	06-19-2019-17:03:31
10000.0	72.6270	0.305829	0.100	06-19-2019-17:03:32
10000.0	72.6265	0.305804	0.100	06-19-2019-17:03:32
10000.0	72.6260	0.305795	0.100	06-19-2019-17:03:33
10000.0	72.62580	0.305778	0.100	06-19-2019-17:03:34
1600.0	86.9321	1.075506	0.100	06-19-2019-17:03:35
1600.0	86.9308	1.075409	0.100	06-19-2019-17:03:35
1600.0	86.9308	1.075331	0.100	06-19-2019-17:03:36
1600.0	86.9292	1.075261	0.100	06-19-2019-17:03:37
8000.0	74.0129	0.350588	0.100	06-19-2019-17:03:37
8000.0	74.0128	0.350570	0.100	06-19-2019-17:03:38
8000.0	74.0115	0.350554	0.100	06-19-2019-17:03:39
8000.0	74.0108	0.350535	0.100	06-19-2019-17:03:39
6000.0	75.94264	0.4209380	0.100	06-19-2019-17:03:40
6000.0	75.9423	0.420911	0.100	06-19-2019-17:03:41
6000.0	75.9417	0.420892	0.100	06-19-2019-17:03:42
6000.0	75.9411	0.420866	0.100	06-19-2019-17:03:42
3200.0	80.7044	0.644668	0.100	06-19-2019-17:03:43
3200.0	80.7033	0.644618	0.100	06-19-2019-17:03:44
3200.0	80.70304	0.644572	0.100	06-19-2019-17:03:44
3200.0	80.70351	0.644520	0.100	06-19-2019-17:03:45
2000.0	84.7759	0.907655	0.100	06-19-2019-17:03:46
2000.0	84.7766	0.90759	0.100	06-19-2019-17:03:46
2000.0	84.7765	0.907523	0.100	06-19-2019-17:03:47
2000.0	84.7749	0.907460	0.100	06-19-2019-17:03:48
2400.0	83.1328	0.792786	0.100	06-19-2019-17:03:49
2400.0	83.1312	0.792740	0.100	06-19-2019-17:03:49
2400.0	83.1304	0.792685	0.100	06-19-2019-17:03:50
2400.0	83.1304	0.792625	0.100	06-19-2019-17:03:51
1200.0	89.9901	1.33875	0.100	06-19-2019-17:03:52
1200.0	89.9892	1.338640	0.100	06-19-2019-17:03:52
1200.0	89.9881	1.33854	0.100	06-19-2019-17:03:53
1200.0	89.9867	1.338448	0.100	06-19-2019-17:03:54
600.00	100.2590	2.27247	0.0600	06-19-2019-17:03:55
600.00	100.2565	2.27227	0.0600	06-19-2019-17:03:56
600.00	100.2545	2.27189	0.0600	06-19-2019-17:03:57
600.00	100.2513	2.27171	0.0600	06-19-2019-17:03:58
12000.0	71.54400	0.2737002	0.100	06-19-2019-17:03:59
12000.0	71.54384	0.273680	0.100	06-19-2019-17:03:59
12000.0	71.54307	0.273674	0.100	06-19-2019-17:04:00
12000.0	71.54243	0.2736570	0.100	06-19-2019-17:04:01
20000.0	68.88790	0.204659	0.100	06-19-2019-17:04:01
20000.0	68.88687	0.204649	0.100	06-19-2019-17:04:02
20000.0	68.8868	0.204645	0.100	06-19-2019-17:04:03
20000.0	68.8863	0.204631	0.100	06-19-2019-17:04:03
1000.0	92.180	1.53910	0.100	06-19-2019-17:04:04
1000.0	92.1799	1.53892	0.100	06-19-2019-17:04:05
1000.0	92.1774	1.53878	0.100	06-19-2019-17:04:06
1000.0	92.1744	1.53863	0.100	06-19-2019-17:04:07
5000.0	77.2259	0.473373	0.100	06-19-2019-17:04:08
5000.0	77.2249	0.473356	0.100	06-19-2019-17:04:09
5000.0	77.2245	0.473323	0.100	06-19-2019-17:04:09
5000.0	77.2235	0.473301	0.100	06-19-2019-17:04:10
