#  Frequency Ave 	 Frequency Std 	 Capacitance Ave 	 Capacitance Std 	 Loss Ave 	 Loss Std 	 Voltage Ave 	 Voltage Std 	 Time Ave 	 Time Std 	 Frequency Ave 	 Capacitance Ave 	 Resistance Ave 	 Resistance Std 	 ReZ Ave 	 ReZ Std 	 ImZ Ave 	 ImZ Std 	 MagZ Ave 	 Magz Std 
#   Hz 	 Hz 	 pF 	 pF 	 tand 	 tand 	 V 	 V 	 s 	 s 	 rad s-1 	 F 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 
3.200000000000000000e+03	0.000000000000000000e+00	5.840479999999999450e+00	1.077032961426534723e-04	4.723109999999999808e-01	2.886173937931402048e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549743780500000000e+09	1.118033988749894903e+00	2.010619298297467685e+04	5.840479999999999364e-12	1.802990971280439571e+07	1.150837914898941335e+03	3.288483230247844011e+06	1.661664019357523898e+02	6.962537883402766660e+06	1.814739039170532919e+02	7.700068553814308718e+06	7.200282739254787145e+01
1.600000000000000000e+04	0.000000000000000000e+00	4.838300000000000267e+00	1.414213562372939226e-04	2.156649999999999956e-01	2.598076211353643827e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549743799000000000e+09	7.071067811865475727e-01	1.005309649148733733e+05	4.838300000000000498e-12	9.532958137028519064e+06	1.181738513586041108e+03	4.236849768382737529e+05	5.338584439617932986e+01	1.964551396092429291e+06	5.662024203878439010e+01	2.009719171299105044e+06	1.344514792294109817e+01
5.000000000000000000e+03	0.000000000000000000e+00	5.492499999999999716e+00	7.071067811880398088e-05	3.763849999999999696e-01	2.692582403567625313e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549743786000000000e+09	7.071067811865475727e-01	3.141592653589793190e+04	5.492499999999999871e-12	1.539741284377727658e+07	1.119194302823801308e+03	1.910616076281990157e+06	1.129537652751076990e+02	5.076228001333714463e+06	1.039190586575273016e+02	5.423886476731575094e+06	4.091689650768371678e+01
4.000000000000000000e+02	0.000000000000000000e+00	8.183859999999999246e+00	1.799999999999949698e-04	1.619531000000000054e+00	1.129977875890193274e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.549743739500000000e+09	3.354101966249684708e+00	2.513274122871834606e+03	8.183859999999999825e-12	3.002013794616569579e+07	2.196169425592586322e+03	2.173387605574812368e+07	7.595506039778906597e+02	1.341985800564986095e+07	1.427664268103454560e+03	2.554317829281286150e+07	6.465821973756642365e+02
1.000000000000000000e+04	0.000000000000000000e+00	5.064750000000000085e+00	8.660254037824202634e-05	2.685350000000000237e-01	2.872281323268021598e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549743793750000000e+09	8.291561975888499525e-01	6.283185307179586380e+04	5.064750000000000204e-12	1.170203035248582065e+07	1.267555513580931574e+03	7.870879184070669580e+05	7.794223978283737608e+01	2.931044066535337828e+06	6.087328611167782810e+01	3.034884958490910940e+06	2.157284797161222656e+01
1.600000000000000000e+02	0.000000000000000000e+00	8.858215000000001282e+00	3.154758310865398764e-04	3.419140000000000068e+00	9.896969233052811676e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.549743660250000000e+09	7.495832175282474807e+00	1.005309649148733797e+03	8.858215000000000944e-12	3.284256349919998646e+07	9.578222724405046392e+03	3.025460273823431507e+07	7.434847149761389119e+03	8.848600156248154119e+06	4.761927418855530050e+03	3.152203533361274377e+07	7.135934381512787695e+03
8.000000000000000000e+02	0.000000000000000000e+00	7.330549999999999677e+00	1.658312395177182592e-04	1.023914999999999909e+00	2.872281323270437336e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549743762500000000e+09	1.118033988749894903e+00	5.026548245743669213e+03	7.330549999999999698e-12	2.650511415456938744e+07	9.551642858700241732e+02	1.356570328881402500e+07	2.998537080522435758e+02	1.324885687660990097e+07	4.887818005141579647e+02	1.896208095798119903e+07	2.150744353334306140e+02
4.000000000000000000e+03	0.000000000000000000e+00	5.658624999999999794e+00	8.902246907394604277e-05	4.212167499999999731e-01	2.210627738900047311e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549743783250000000e+09	8.291561975888499525e-01	2.513274122871834334e+04	5.658625000000000034e-12	1.669335362694383413e+07	9.146155147343514500e+02	2.515487369614019059e+06	1.174291988075105451e+02	5.971954746847126633e+06	1.184571952658092044e+02	6.480117298712855205e+06	4.667479307872648775e+01
2.000000000000000000e+04	0.000000000000000000e+00	4.746016000000000012e+00	5.289612462173326479e-05	1.948457499999999842e-01	2.476262304360664387e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549743801500000000e+09	5.000000000000000000e-01	1.256637061435917276e+05	4.746015999999999717e-12	8.605378965425547212e+06	1.097840835726912246e+03	3.147525243222163408e+05	3.782631925870384038e+01	1.615393326886608731e+06	2.248857166857984069e+01	1.645771780082826037e+06	8.602350884632871342e+00
1.200000000000000000e+03	0.000000000000000000e+00	6.836999999999999744e+00	0.000000000000000000e+00	8.047249999999999126e-01	4.330127018921716157e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549743769250000000e+09	8.291561975888499525e-01	7.539822368615503365e+03	6.836999999999999241e-12	2.410603662945880741e+07	1.297116412791154289e+03	9.474879051148215309e+06	1.090529388466050449e+02	1.177405828220599145e+07	4.980319240172565856e+02	1.511296732831348479e+07	7.054534235209891335e+01
5.000000000000000000e+01	0.000000000000000000e+00	8.038924999999998988e+00	3.600954734511039191e-03	1.175499999999999901e+01	1.349073756323213545e-02	5.000000000000000104e-03	0.000000000000000000e+00	1.549743407750000000e+09	2.202697210240209102e+01	3.141592653589793258e+02	8.038924999999998686e-12	3.368445437271474302e+07	4.149854307073306700e+04	3.344243362029201165e+07	4.060890469655594643e+04	2.844953944729222450e+06	7.071921077420173788e+03	3.356322584906385094e+07	4.046275607977104664e+04
6.000000000000000000e+01	0.000000000000000000e+00	8.265525000000000233e+00	1.035313962042657939e-03	9.542624999999999247e+00	7.231657832060282495e-03	1.499999999999999944e-02	0.000000000000000000e+00	1.549743485750000000e+09	2.157979378956156680e+01	3.769911184307751455e+02	8.265524999999999356e-12	3.363028749097616971e+07	2.583171443088268643e+04	3.326498584595610201e+07	2.499620000405651808e+04	3.485936610309648328e+06	5.314181820171532308e+03	3.344713795502923056e+07	2.486007261031102826e+04
3.200000000000000000e+02	0.000000000000000000e+00	8.424547500000000966e+00	7.980444849744818838e-05	1.909292999999999907e+00	1.949794861005184170e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.549743727500000000e+09	3.354101966249684708e+00	2.010619298297467594e+03	8.424547500000001469e-12	3.092081908100787923e+07	3.171230378452420155e+03	2.426459557398875803e+07	1.420608357615741397e+03	1.270868094838705286e+07	2.046789105095846480e+03	2.739126082927054539e+07	1.258623406806466164e+03
1.600000000000000000e+03	0.000000000000000000e+00	6.512132499999999879e+00	2.262051060431988735e-04	6.840822500000000028e-01	2.863891583144097030e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549743772250000000e+09	8.291561975888499525e-01	1.005309649148733843e+04	6.512132499999999464e-12	2.232896529600904137e+07	1.214671383832393758e+03	7.118172340088799596e+06	3.649325645825584274e+02	1.040543346957006864e+07	3.839335208697307280e+02	1.260719727587596141e+07	2.066789256830977308e+02
8.000000000000000000e+03	0.000000000000000000e+00	5.188850000000000406e+00	2.061552812808333901e-04	2.988049999999999873e-01	2.958039891548309267e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.549743791250000000e+09	8.291561975888499525e-01	5.026548245743668667e+04	5.188850000000000453e-12	1.283131503800371848e+07	1.368725995611178632e+03	1.051733224584800191e+06	1.211784679409098970e+02	3.519797943758639507e+06	1.321298047238494178e+02	3.673570516620456707e+06	3.639929116760676919e+01
2.000000000000000000e+02	0.000000000000000000e+00	8.785052499999999043e+00	3.269174207653998993e-05	2.798224999999999962e+00	6.623631934219202048e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.549743686000000000e+09	6.708203932499369415e+00	1.256637061435917303e+03	8.785052499999998225e-12	3.237152374872926623e+07	7.663556482859301468e+03	2.870546573798469082e+07	5.256507979208314282e+03	1.025845517711573839e+07	4.307158386123724995e+03	3.048343264554544538e+07	4.949967853725027453e+03
8.000000000000000000e+01	0.000000000000000000e+00	8.580175000000000551e+00	6.259992012773524456e-04	6.908274999999999721e+00	3.295735881407933776e-03	2.000000000000000042e-02	0.000000000000000000e+00	1.549743544500000000e+09	1.297112177107284658e+01	5.026548245743668986e+02	8.580175000000000242e-12	3.356327888190674037e+07	1.619821973134451582e+04	3.287443770735112950e+07	1.521484425592920707e+04	4.758704265153187327e+06	4.511297943688922715e+03	3.321707273161945492e+07	1.505790579087819424e+04
