#  Frequency Ave 	 Frequency Std 	 Capacitance Ave 	 Capacitance Std 	 Loss Ave 	 Loss Std 	 Voltage Ave 	 Voltage Std 	 Time Ave 	 Time Std 	 Frequency Ave 	 Capacitance Ave 	 Resistance Ave 	 Resistance Std 	 ReZ Ave 	 ReZ Std 	 ImZ Ave 	 ImZ Std 	 MagZ Ave 	 Magz Std 
#   Hz 	 Hz 	 pF 	 pF 	 tand 	 tand 	 V 	 V 	 s 	 s 	 rad s-1 	 F 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 
1.600000000000000000e+04	0.000000000000000000e+00	4.375449999999999839e+00	1.658312395177182592e-04	1.361725000000000019e-01	2.487468592766666525e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552933315000000000e+09	7.071067811865475727e-01	1.005309649148733733e+05	4.375449999999999900e-12	1.669506110189003870e+07	3.114643261365556100e+03	3.039397398646331276e+05	5.913558887044104040e+01	2.232019973670404404e+06	8.291232423613270441e+01	2.252619037549983244e+06	1.204439180243112517e+01
3.200000000000000000e+03	0.000000000000000000e+00	5.010597500000000259e+00	2.165063509448358922e-05	2.795927500000000010e-01	1.084838697688553520e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552933362250000000e+09	8.291561975888499525e-01	2.010619298297467685e+04	5.010597499999999845e-12	3.550215618217226118e+07	1.386023013545762751e+03	2.574058720312032383e+06	8.836278680985530798e+01	9.206457321629520506e+06	6.223582074922997265e+01	9.559531092611197382e+06	2.497670264433246956e+01
5.000000000000000000e+03	0.000000000000000000e+00	4.789667500000000189e+00	7.790218225462191735e-05	2.268317499999999987e-01	2.998645527567071672e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552933308750000000e+09	8.291561975888499525e-01	3.141592653589793190e+04	4.789667499999999897e-12	2.929819858284625039e+07	3.902335275832326715e+03	1.433701990207515191e+06	1.778893668818982121e+02	6.320552524977280758e+06	1.240534563208097865e+02	6.481117621037414297e+06	4.082287289617607229e+01
1.000000000000000000e+04	0.000000000000000000e+00	4.517794999999999561e+00	1.519045753096489205e-04	1.658850000000000047e-01	1.802775637731873093e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552933039250000000e+09	8.291561975888499525e-01	6.283185307179586380e+04	4.517794999999999532e-12	2.123667369490238279e+07	2.415859025564655894e+03	5.687368394920137944e+05	7.165885259002926944e+01	3.428500705259750132e+06	1.110859869201744914e+02	3.475353029342770111e+06	1.567260652743863147e+01
4.000000000000000000e+02	0.000000000000000000e+00	6.768120749999999575e+00	1.045977413710477515e-04	8.204762500000000180e-01	2.566490794840130149e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552933352500000000e+09	3.354101966249684708e+00	2.513274122871834606e+03	6.768120749999999669e-12	7.165162227121064067e+07	2.499923428894398057e+03	2.882803628915619850e+07	5.676280781760356149e+02	3.513573523810859770e+07	9.921213595843705662e+02	4.544860357603270561e+07	3.608688314281409930e+02
2.000000000000000000e+04	0.000000000000000000e+00	4.316364999999999341e+00	3.840572873921884698e-05	1.241362500000000035e-01	3.189337705543018067e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552933317500000000e+09	5.000000000000000000e-01	1.256637061435917276e+05	4.316364999999999652e-12	1.485160369631942920e+07	3.817996452251548362e+03	2.253871962821073539e+05	5.632176419384182253e+01	1.815643668002757942e+06	2.112079640603664288e+01	1.829579546618954279e+06	8.303043030263468793e+00
1.600000000000000000e+02	0.000000000000000000e+00	7.916377500000000289e+00	2.152179128232879280e-04	1.451164750000000003e+00	1.284666785590085560e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.552933335250000000e+09	7.495832175282474807e+00	1.005309649148733797e+03	7.916377499999999606e-12	8.658784533775041997e+07	8.018642089594057325e+03	5.870915409841749817e+07	2.191775797704942761e+03	4.045657400265373290e+07	5.095634535128372590e+03	7.129866166334351897e+07	1.805219107898882612e+03
8.000000000000000000e+02	0.000000000000000000e+00	6.027449999999999974e+00	1.118033988747289142e-04	5.600975000000000259e-01	2.772634126599246010e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552933359500000000e+09	1.118033988749894903e+00	5.026548245743669213e+03	6.027449999999999727e-12	5.892951869569978863e+07	3.115240103452703352e+03	1.407216497596137784e+07	5.558271432271858430e+02	2.512449167504118010e+07	6.794445343705560845e+02	2.879697742888804898e+07	2.725654199599813978e+02
4.000000000000000000e+03	0.000000000000000000e+00	4.895209999999999617e+00	1.315294643797948113e-04	2.516674999999999884e-01	1.299038105677957107e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552933365000000000e+09	7.071067811865475727e-01	2.513274122871834334e+04	4.895209999999999697e-12	3.229696240507583320e+07	1.879417680307261662e+03	1.923734854828193085e+06	1.384760959702917376e+02	7.643954244501947425e+06	1.885189266410847608e+02	7.882308816820119508e+06	3.632445910254594423e+01
1.200000000000000000e+03	0.000000000000000000e+00	5.668249999999999567e+00	4.330127018919793596e-04	4.531749999999999945e-01	4.330127018921716157e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552933306000000000e+09	7.071067811865475727e-01	7.539822368615503365e+03	5.668249999999999400e-12	5.163259413169456273e+07	6.316464369225297560e+03	8.797035119129834697e+06	1.321629978337414741e+03	1.941200445551902428e+07	1.269078773392507628e+03	2.131229091084048897e+07	5.464909137010511131e+02
5.000000000000000000e+01	0.000000000000000000e+00	9.019275000000000375e+00	1.040132203135585428e-03	3.616999999999999993e+00	1.974841765813235926e-03	1.250000000000000069e-02	0.000000000000000000e+00	1.552933249500000000e+09	2.280898945591408733e+01	3.141592653589793258e+02	9.019274999999999855e-12	9.757307449211178720e+07	5.444921216353257478e+04	9.064449185479645431e+07	4.342451587551079865e+04	2.506068339916960523e+07	2.610144750823764116e+04	9.404499857008706033e+07	4.185438160165039153e+04
6.000000000000000000e+01	0.000000000000000000e+00	8.923474999999999824e+00	1.279404158192315195e-03	3.060855000000000103e+00	1.982277730288940602e-03	4.499999999999999833e-02	0.000000000000000000e+00	1.552933008750000000e+09	2.157979378956156680e+01	3.769911184307751455e+02	8.923474999999999395e-12	9.711629674924509227e+07	6.441753823323230608e+04	8.775012278841388226e+07	4.704066319593537628e+04	2.866850039888001233e+07	3.452367906736586156e+04	9.231450029384493828e+07	4.471483239709930785e+04
3.200000000000000000e+02	0.000000000000000000e+00	7.032232499999999220e+00	1.032896413005970513e-04	9.318357499999999627e-01	5.355079364490420433e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552933102500000000e+09	3.354101966249684708e+00	2.010619298297467594e+03	7.032232499999999237e-12	7.589926393421021104e+07	4.501994925474872616e+03	3.527487910283066332e+07	5.739071314677933060e+02	3.785525410763717443e+07	2.087507821506625532e+03	5.174299333507002145e+07	3.926764153230298575e+02
1.600000000000000000e+03	0.000000000000000000e+00	5.444027499999998909e+00	5.804093383127933943e-05	3.910982499999999806e-01	1.895224261135774530e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552933109250000000e+09	8.291561975888499525e-01	1.005309649148733843e+04	5.444027499999998736e-12	4.671904600544269383e+07	2.318104318790432899e+03	6.198010163646946661e+06	2.533487438164192156e+02	1.584770620591359586e+07	2.427710980127454548e+02	1.701661311711655557e+07	9.341189890258637263e+01
8.000000000000000000e+03	0.000000000000000000e+00	4.597532499999999800e+00	1.198697209472345698e-04	1.832699999999999885e-01	4.301162633521581416e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552933195000000000e+09	7.071067811865475727e-01	5.026548245743668667e+04	4.597532499999999524e-12	2.361097692922756076e+07	5.575348735389724425e+03	7.672719173772223294e+05	1.737698426244088807e+02	4.186565817521810997e+06	1.206008205028178821e+02	4.256294108686310239e+06	3.313520599858304649e+01
2.000000000000000000e+02	0.000000000000000000e+00	7.629607500000000542e+00	3.692813967696086000e-04	1.248552749999999989e+00	9.876075890764852560e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552933181250000000e+09	7.048936089935842197e+00	1.256637061435917303e+03	7.629607500000000012e-12	8.353741724178703129e+07	7.746719075111460370e+03	5.089138161202496290e+07	2.183777908219637084e+03	4.076029756213741004e+07	4.625512691724135038e+03	6.520225900791120529e+07	1.705002945853107803e+03
2.000000000000000000e+03	0.000000000000000000e+00	5.288482499999999753e+00	9.443913383767786010e-05	3.497875000000000290e-01	2.586020108197724073e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552933042000000000e+09	7.071067811865475727e-01	1.256637061435917167e+04	5.288482499999999928e-12	4.301845204784954339e+07	3.271866333353135815e+03	4.689586358911518939e+06	3.163250770164872279e+02	1.340695810716940835e+07	2.906484881002094767e+02	1.420347654291316494e+07	1.056740791268931616e+02
8.000000000000000000e+01	0.000000000000000000e+00	8.690977500000000688e+00	4.690615631237486411e-04	2.413677499999999920e+00	8.690619943363562735e-04	5.999999999999999778e-02	0.000000000000000000e+00	1.552933077000000000e+09	1.341640786499873883e+01	5.026548245743668986e+02	8.690977499999999961e-12	9.483797604666505754e+07	3.452858809897637548e+04	8.094401004213070869e+07	2.087450082958786516e+04	3.353555313090946153e+07	2.088100878282474150e+04	8.761601500580021739e+07	1.928497608339425278e+04
6.000000000000000000e+02	0.000000000000000000e+00	6.309112499999999457e+00	7.595228765484272903e-05	6.514732500000000037e-01	4.472904537322570971e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552933045500000000e+09	1.118033988749894903e+00	3.769911184307751682e+03	6.309112499999999386e-12	6.453629390793626010e+07	4.498548963741819534e+03	1.922914298898602277e+07	6.316669060399761975e+02	2.951639685740899295e+07	1.234455630552516368e+03	3.522751230976910144e+07	3.460535121037489148e+02
2.400000000000000000e+03	0.000000000000000000e+00	5.174417499999999670e+00	7.048936089922563377e-05	3.205900000000000416e-01	1.309580085371129472e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.552933164750000000e+09	8.291561975888499525e-01	1.507964473723100673e+04	5.174417499999999848e-12	3.997582648680647463e+07	1.721386619250945614e+03	3.725712349430324044e+06	1.597192354151145537e+02	1.162142409130142443e+07	1.590335744185222495e+02	1.220403336690697260e+07	5.021696403513623608e+01
