#  Frequency Ave 	 Frequency Std 	 Capacitance Ave 	 Capacitance Std 	 Loss Ave 	 Loss Std 	 Voltage Ave 	 Voltage Std 	 Time Ave 	 Time Std 	 Frequency Ave 	 Capacitance Ave 	 Resistance Ave 	 Resistance Std 	 ReZ Ave 	 ReZ Std 	 ImZ Ave 	 ImZ Std 	 MagZ Ave 	 Magz Std 
#   Hz 	 Hz 	 pF 	 pF 	 tand 	 tand 	 V 	 V 	 s 	 s 	 rad s-1 	 F 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 
1.600000000000000000e+03	0.000000000000000000e+00	2.519074999999999818e+03	3.814691992808876275e+00	7.630525000000000446e+00	2.599398968992778971e-03	1.000000000000000021e-03	0.000000000000000000e+00	1.556914934250000000e+09	8.291561975888499525e-01	1.005309649148733843e+04	2.519074999999999596e-09	5.174931810819496604e+03	8.032355255600727162e+00	5.087554191238992644e+03	7.634495692686321000e+00	6.667371106495282902e+02	2.256597825674080848e+00	5.131057008405842680e+03	7.572284200196416570e+00
2.000000000000000000e+03	0.000000000000000000e+00	1.899600000000000136e+03	9.486832980504777968e-01	7.892500000000000071e+00	1.118033988749871088e-03	1.000000000000000021e-03	0.000000000000000000e+00	1.556914970000000000e+09	7.071067811865475727e-01	1.256637061435917167e+04	1.899599999999999934e-09	5.307785754335335696e+03	2.755346222079446683e+00	5.223923291965636054e+03	2.627413028559667296e+00	6.618844842528521895e+02	7.482584394280860085e-01	5.265687574366309491e+03	2.608840780695446782e+00
2.400000000000000000e+03	0.000000000000000000e+00	1.581387500000000045e+03	1.045451457505353066e+00	7.951399999999999579e+00	4.390899680019971080e-03	1.000000000000000021e-03	0.000000000000000000e+00	1.556914972750000000e+09	8.291561975888499525e-01	1.507964473723100673e+04	1.581387500000000088e-09	5.273840449471045758e+03	4.542836786734089749e+00	5.191725073897437142e+03	4.334157300510227628e+00	6.529321973359958520e+02	1.183685945430537734e+00	5.232621684896908846e+03	4.302425210605192341e+00
3.200000000000000000e+03	0.000000000000000000e+00	1.252824999999999818e+03	1.164849775722221592e+00	7.827574999999999505e+00	1.497289217218981472e-03	1.000000000000000021e-03	0.000000000000000000e+00	1.556914943000000000e+09	7.071067811865475727e-01	2.010619298297467685e+04	1.252824999999999755e-09	5.071687718970565584e+03	4.814305105767701320e+00	4.990242208393312467e+03	4.587272628308658895e+00	6.375208424567395014e+02	1.321887886645722432e+00	5.030800147391755672e+03	4.552622377227862671e+00
4.000000000000000000e+03	0.000000000000000000e+00	1.049125000000000000e+03	6.219927652312122746e-01	7.465225000000000222e+00	2.156820576682383968e-03	3.000000000000000062e-03	0.000000000000000000e+00	1.556914951250000000e+09	8.291561975888499525e-01	2.513274122871834334e+04	1.049124999999999931e-09	5.080307528369556167e+03	3.350557671904681456e+00	4.990754474332570680e+03	3.177167081783442981e+00	6.685336978232500087e+02	9.469154319503646500e-01	5.035331918373981352e+03	3.151689018031606615e+00
5.000000000000000000e+03	0.000000000000000000e+00	9.113899999999999864e+02	6.158733636065147898e-01	6.944174999999999542e+00	1.527047805407494296e-03	3.000000000000000062e-03	0.000000000000000000e+00	1.556914948750000000e+09	8.291561975888499525e-01	3.141592653589793190e+04	9.113899999999999929e-10	5.029504618271970685e+03	3.574127157123232923e+00	4.927323704843284759e+03	3.361961839149695042e+00	7.095621445086401309e+02	1.089826754352217097e+00	4.978151999410047210e+03	3.330960500848435313e+00
6.000000000000000000e+03	0.000000000000000000e+00	8.245474999999999000e+02	3.164154705446441396e-01	6.391849999999999810e+00	2.573421846491548946e-03	3.000000000000000062e-03	0.000000000000000000e+00	1.556914954250000000e+09	8.291561975888499525e-01	3.769911184307751682e+04	8.245474999999998350e-10	5.032996487793704546e+03	2.799334600468229795e+00	4.912750239238257564e+03	2.603447725081533548e+00	7.685959838291350934e+02	8.805437927526893471e-01	4.972509899386207508e+03	2.576245704603185249e+00
8.000000000000000000e+03	0.000000000000000000e+00	7.277274999999999636e+02	2.006707502353005379e-01	5.411099999999999355e+00	1.570031846810677079e-03	3.000000000000000062e-03	0.000000000000000000e+00	1.556914967000000000e+09	7.071067811865475727e-01	5.026548245743668667e+04	7.277274999999999564e-10	5.052144898932054275e+03	2.022279196390282863e+00	4.885297330789671832e+03	1.828498705185195305e+00	9.028288759752492751e+02	7.365628449810938116e-01	4.968020731590742798e+03	1.804803651507202567e+00
1.000000000000000000e+04	0.000000000000000000e+00	6.762675000000000409e+02	7.980444849756759829e-02	4.614949999999999442e+00	1.096585609973050983e-03	3.000000000000000062e-03	0.000000000000000000e+00	1.556914991750000000e+09	8.291561975888499525e-01	6.283185307179586380e+04	6.762675000000000121e-10	5.099582415536337976e+03	1.352947487735065124e+00	4.870878652714359305e+03	1.177489982687732750e+00	1.055456430235291919e+03	5.468043869140435387e-01	4.983918852227981006e+03	1.161389318195078291e+00
1.200000000000000000e+04	0.000000000000000000e+00	6.513624999999999545e+02	9.959292143519976603e-02	4.148197500000000204e+00	3.229708771700617008e-03	3.000000000000000062e-03	0.000000000000000000e+00	1.556914945750000000e+09	8.291561975888499525e-01	7.539822368615503365e+04	6.513624999999999828e-10	4.908589434688316032e+03	3.894732881276078640e+00	4.638998443210129153e+03	3.277432710147103911e+00	1.118316676872335165e+03	1.684086299972752609e+00	4.771890479241616958e+03	3.200641756466569454e+00
1.600000000000000000e+04	0.000000000000000000e+00	6.149317499999999654e+02	5.365806090422899077e-02	3.227955000000000130e+00	1.261398033928992374e-03	1.000000000000000021e-02	0.000000000000000000e+00	1.556914975750000000e+09	8.291561975888499525e-01	1.005309649148733733e+05	6.149317499999999016e-10	5.011246434556869644e+03	2.006487584824225845e+00	4.572421483392921800e+03	1.511763018404785663e+00	1.416507195234419669e+03	1.040008699421893779e+00	4.786808002828607641e+03	1.475252034838429926e+00
2.000000000000000000e+04	0.000000000000000000e+00	5.978517500000000382e+02	3.458594367654934526e-02	2.688087499999999963e+00	1.534851377169801304e-03	1.000000000000000021e-02	0.000000000000000000e+00	1.556914964250000000e+09	8.291561975888499525e-01	1.256637061435917276e+05	5.978517499999999978e-10	4.951687513341606973e+03	2.841802213469989624e+00	4.349718241006362405e+03	1.890368984539949393e+00	1.618146076348468114e+03	1.633072026528501697e+00	4.640953081054087306e+03	1.826910118408874517e+00
