#  Frequency Ave 	 Frequency Std 	 Capacitance Ave 	 Capacitance Std 	 Loss Ave 	 Loss Std 	 Voltage Ave 	 Voltage Std 	 Time Ave 	 Time Std 	 Frequency Ave 	 Capacitance Ave 	 Resistance Ave 	 Resistance Std 	 ReZ Ave 	 ReZ Std 	 ImZ Ave 	 ImZ Std 	 MagZ Ave 	 Magz Std 
#   Hz 	 Hz 	 pF 	 pF 	 tand 	 tand 	 V 	 V 	 s 	 s 	 rad s-1 	 F 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 
5.000000000000000000e+01	0.000000000000000000e+00	8.222500000000000000e+02	6.179198977213773425e+00	3.745025000000000048e+00	1.022799467148863620e-02	1.499999999999999869e-04	0.000000000000000000e+00	1.560976311250000000e+09	3.275954059506940297e+01	3.141592653589793258e+02	8.222500000000000299e-10	1.033692877780874143e+06	8.265270874277848634e+03	9.648956547840491403e+05	6.757500308869784021e+03	2.576473200536842924e+05	4.196318237827776102e+03	9.987020407268549316e+05	6.528778134399565715e+03
6.000000000000000000e+01	0.000000000000000000e+00	6.953250000000000455e+02	4.977135220184395692e+00	3.971750000000000114e+00	9.721496798333048583e-03	1.800000000000000113e-04	0.000000000000000000e+00	1.560975979000000000e+09	3.130495168499705727e+01	3.769911184307751455e+02	6.953250000000000778e-10	9.605038999521951191e+05	7.266133229316971665e+03	9.032451540421982063e+05	6.067470003966280274e+03	2.274174240680300281e+05	3.539105719189228694e+03	9.314346424040993443e+05	5.883858435292502691e+03
8.000000000000000000e+01	0.000000000000000000e+00	4.355950000000000273e+02	1.177847613233547586e+00	4.592674999999999841e+00	2.833174015128478267e-03	8.000000000000000383e-04	0.000000000000000000e+00	1.560976391000000000e+09	1.341640786499873883e+01	5.026548245743668986e+02	4.355950000000000349e-10	9.944467777818252798e+05	2.758071417772556742e+03	9.494342436083540088e+05	2.406100521912282602e+03	2.067279403851467941e+05	1.207085002375753447e+03	9.716798980487617664e+05	2.351026839703912174e+03
1.000000000000000000e+02	0.000000000000000000e+00	3.516174999999999500e+02	8.229026370112016986e-01	4.831199999999999939e+00	2.528833723280251092e-03	1.000000000000000021e-03	0.000000000000000000e+00	1.560976129000000000e+09	1.185326959112969725e+01	6.283185307179586516e+02	3.516174999999999493e-10	9.369030079589575762e+05	2.246839895870728014e+03	8.984114707899001660e+05	1.985030942439655064e+03	1.859603143711500452e+05	9.439618260176291642e+02	9.174553991164303152e+05	1.943836967322387864e+03
1.200000000000000000e+02	0.000000000000000000e+00	2.891349999999999909e+02	6.269968101992278164e-01	4.996974999999999945e+00	1.892584212128990912e-03	1.199999999999999895e-03	0.000000000000000000e+00	1.560976084000000000e+09	1.118033988749894903e+01	7.539822368615502910e+02	2.891350000000000050e-10	9.179753985878535314e+05	2.020787726659110149e+03	8.826275390538631473e+05	1.799388602047318500e+03	1.766323703948615293e+05	8.270818990425498214e+02	9.001279725503403461e+05	1.764413623163292868e+03
1.600000000000000000e+02	0.000000000000000000e+00	2.136200000000000045e+02	2.873151579711761272e-01	5.065949999999999953e+00	1.073545527679112396e-03	1.600000000000000077e-03	0.000000000000000000e+00	1.560976199000000000e+09	7.382411530116700149e+00	1.005309649148733797e+03	2.136200000000000078e-10	9.191731701349101495e+05	1.251522846259668313e+03	8.847005343102894258e+05	1.117801242952175471e+03	1.746366494557367405e+05	5.066728907460948790e+02	9.017721412541182945e+05	1.096648614917219220e+03
2.000000000000000000e+02	0.000000000000000000e+00	1.810995000000000061e+02	1.877291932545364361e-01	4.956824999999999370e+00	6.869315832017034015e-04	2.000000000000000042e-03	0.000000000000000000e+00	1.560976050000000000e+09	6.708203932499369415e+00	1.256637061435917303e+03	1.810994999999999959e-10	8.864807274252070347e+05	9.271085760661562745e+02	8.518121012067219708e+05	8.240712059552894289e+02	1.718463131554416905e+05	3.824332113697619207e+02	8.689735387843112694e+05	8.078058060269738689e+02
2.400000000000000000e+02	0.000000000000000000e+00	1.560252499999999998e+02	9.901357230198688797e-02	4.697949999999999626e+00	2.268810260907594585e-03	7.199999999999999803e-03	0.000000000000000000e+00	1.560976226000000000e+09	6.708203932499369415e+00	1.507964473723100582e+03	1.560252499999999881e-10	9.047021293803141452e+05	7.214647203091255960e+02	8.654878537773175631e+05	6.321557526104782028e+02	1.842267060690977087e+05	3.006880249555117643e+02	8.848777905819182051e+05	6.183141418580050868e+02
3.200000000000000000e+02	0.000000000000000000e+00	1.332317500000000052e+02	3.679249244071074870e-02	4.218242499999999673e+00	1.248546655115400630e-03	9.599999999999999159e-03	0.000000000000000000e+00	1.560976171500000000e+09	3.354101966249684708e+00	2.010619298297467594e+03	1.332317500000000037e-10	8.849747464990250301e+05	3.582449752654677582e+02	8.378855156374070793e+05	3.040858637366402490e+02	1.986337949127882603e+05	1.599553629056743773e+02	8.611083101424693596e+05	2.958995080880462751e+02
4.000000000000000000e+02	0.000000000000000000e+00	1.208632500000000078e+02	2.389952928406823343e-02	3.768995000000000317e+00	1.292623301662131161e-03	1.200000000000000025e-02	0.000000000000000000e+00	1.560976152500000000e+09	3.354101966249684708e+00	2.513274122871834606e+03	1.208632500000000117e-10	8.734545486044321442e+05	3.457869275111838760e+02	8.160105514729436254e+05	2.813562596525978847e+02	2.165061379685946740e+05	1.644082675196366949e+02	8.442441162917594193e+05	2.719669050978490645e+02
5.000000000000000000e+02	0.000000000000000000e+00	1.123332499999999925e+02	1.756950483081250874e-02	3.344357500000000094e+00	1.242082424801059385e-03	1.499999999999999944e-02	0.000000000000000000e+00	1.560976030750000000e+09	3.031088913245535199e+00	3.141592653589792917e+03	1.123332499999999905e-10	8.472841994116344722e+05	3.414438566633144205e+02	7.777476235568049597e+05	2.627363633412442709e+02	2.325551689844178036e+05	1.747159704292271840e+02	8.117716874649106758e+05	2.517526842570146641e+02
6.000000000000000000e+02	0.000000000000000000e+00	1.059275000000000091e+02	5.315072906369308278e-03	2.910032499999999800e+00	4.872050389723621162e-04	1.799999999999999864e-02	0.000000000000000000e+00	1.560976178500000000e+09	1.118033988749894903e+00	3.769911184307751682e+03	1.059275000000000072e-10	8.605226764739266364e+05	1.504020106008850917e+02	7.696379704045170220e+05	1.064160478851421772e+02	2.644774484149290947e+05	8.334631759677431262e+01	8.138125866613613907e+05	1.006833953157302659e+02
8.000000000000000000e+02	0.000000000000000000e+00	9.926615000000001032e+01	4.020882987601401629e-03	2.373000250000000033e+00	3.334594240682999325e-04	2.400000000000000050e-02	0.000000000000000000e+00	1.560976159500000000e+09	1.118033988749894903e+00	5.026548245743669213e+03	9.926615000000001036e-11	8.445613104620415252e+05	1.235118760242623779e+02	7.171982084403928602e+05	7.377361074616415237e+01	3.022326729381477344e+05	7.555369112270787468e+01	7.782787796037141234e+05	6.806748535505150244e+01
1.000000000000000000e+03	0.000000000000000000e+00	9.584012500000000045e+01	1.841704373666948726e-03	2.077989999999999782e+00	3.086259872401043709e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.560975902500000000e+09	1.118033988749894903e+00	6.283185307179585834e+03	9.584012500000000305e-11	7.991518458555976395e+05	1.196805002616920319e+02	6.488800391039819224e+05	6.081122695332476269e+01	3.122633117117897491e+05	7.603390207442834026e+01	7.201067150004917057e+05	5.492661484934266980e+01
1.200000000000000000e+03	0.000000000000000000e+00	9.289730000000000132e+01	1.354621718411380595e-03	1.774335999999999913e+00	2.142568551996006869e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.560976022500000000e+09	1.118033988749894903e+00	7.539822368615503365e+03	9.289730000000000241e-11	8.046368715784389060e+05	9.786839735689648023e+01	6.106675270587502746e+05	3.870414085485706579e+01	3.441667908776862896e+05	6.359301329715209050e+01	7.009747559984556865e+05	3.394441710836787252e+01
1.600000000000000000e+03	0.000000000000000000e+00	8.893663750000000334e+01	9.717091900382441097e-04	1.351505249999999991e+00	1.554081320266196989e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.560976360000000000e+09	7.071067811865475727e-01	1.005309649148733843e+04	8.893663750000000601e-11	8.275642212723355042e+05	9.558931570405887612e+01	5.347834787667108467e+05	1.853068013544269377e+01	3.956947105952498387e+05	5.908450563047797743e+01	6.652575990959318588e+05	1.558217390042638506e+01
2.000000000000000000e+03	0.000000000000000000e+00	8.659074999999998568e+01	8.440971508082117632e-04	1.128185250000000028e+00	1.267899345374036077e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.560976410500000000e+09	1.118033988749894903e+00	1.256637061435917167e+04	8.659074999999998866e-11	8.145883924685149686e+05	9.189041632189361053e+01	4.561812776350199129e+05	7.311920591118933110e+00	4.043496204502052860e+05	5.109011723809986449e+01	6.095900045300482307e+05	7.240140070455989729e+00
2.400000000000000000e+03	0.000000000000000000e+00	8.541857500000000414e+01	1.608376510644908856e-03	1.048840500000000064e+00	1.102825915545915380e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.560975908750000000e+09	8.291561975888499525e-01	1.507964473723100673e+04	8.541857499999999886e-11	7.401966565006017918e+05	7.906765345731288619e+01	3.877332017925932887e+05	7.227546805936024832e+00	3.696779460676749586e+05	4.137186497274922914e+01	5.357227077333483612e+05	6.860285451760075759e+00
3.200000000000000000e+03	0.000000000000000000e+00	8.291286500000001070e+01	8.807241338846922250e-04	8.435936750000000428e-01	9.018518101661615702e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.560975896250000000e+09	8.291561975888499525e-01	2.010619298297467685e+04	8.291286500000000710e-11	7.110741916779149324e+05	7.639238701451554903e+01	2.956422565125486581e+05	6.488002204772813641e+00	3.504557528985131648e+05	3.131389259989251528e+01	4.585014488259500940e+05	5.982975308882717336e+00
4.000000000000000000e+03	0.000000000000000000e+00	8.109114999999999895e+01	8.077747210699423976e-04	7.145049999999999457e-01	7.556123344680906089e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.560975899000000000e+09	7.071067811865475727e-01	2.513274122871834334e+04	8.109114999999999299e-11	6.867227081128441496e+05	7.294462858247081272e+01	2.320952338615605258e+05	8.555352998799024888e+00	3.248336034899133374e+05	2.334673300968778165e+01	3.992305944407250499e+05	6.339865472188025208e+00
5.000000000000000000e+03	0.000000000000000000e+00	7.908257249999999772e+01	6.513591559191065196e-04	5.876982499999999776e-01	5.083982199027785835e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.560976181750000000e+09	8.291561975888499525e-01	3.141592653589793190e+04	7.908257249999999533e-11	6.848807216186790029e+05	5.951469228628231889e+01	1.758230416605198989e+05	7.739391627944497642e+00	2.991723076604701928e+05	1.340189881356945634e+01	3.470126966692255810e+05	5.033731841367822923e+00
6.000000000000000000e+03	0.000000000000000000e+00	7.775280000000000769e+01	7.348469228361416417e-04	5.188289999999999846e-01	4.672793596983272044e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.560976162750000000e+09	8.291561975888499525e-01	3.769911184307751682e+04	7.775280000000000369e-11	6.575497252373233205e+05	5.954688677554317167e+01	1.394609626181179192e+05	7.563012996779622910e+00	2.687994746209597215e+05	1.042864887873643553e+01	3.028242355738325859e+05	4.510908563281379458e+00
