#  Frequency Ave 	 Frequency Std 	 Capacitance Ave 	 Capacitance Std 	 Loss Ave 	 Loss Std 	 Voltage Ave 	 Voltage Std 	 Time Ave 	 Time Std 	 Frequency Ave 	 Capacitance Ave 	 Resistance Ave 	 Resistance Std 	 ReZ Ave 	 ReZ Std 	 ImZ Ave 	 ImZ Std 	 MagZ Ave 	 Magz Std 
#   Hz 	 Hz 	 pF 	 pF 	 tand 	 tand 	 V 	 V 	 s 	 s 	 rad s-1 	 F 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 
6.000000000000000000e+02	0.000000000000000000e+00	1.048977500000000020e+02	4.322904116444864844e-03	2.805039999999999978e+00	3.820994634907325582e-04	1.799999999999999864e-02	0.000000000000000000e+00	1.560976468500000000e+09	1.118033988749894903e+00	3.769911184307751682e+03	1.048977500000000010e-10	9.014956794650803786e+05	1.282974563949699416e+02	7.998413801055660006e+05	8.847180903446397338e+01	2.851443758754120790e+05	7.258226229138102781e+01	8.491487198498004582e+05	8.338362702878531252e+01
8.000000000000000000e+02	0.000000000000000000e+00	9.860032499999999800e+01	2.172987574746777003e-03	2.285530000000000062e+00	3.535533905932536445e-04	8.000000000000000167e-02	0.000000000000000000e+00	1.560976437500000000e+09	1.118033988749894903e+00	5.026548245743669213e+03	9.860032500000000093e-11	8.828051783463028260e+05	1.379418846947435497e+02	7.409582637772707967e+05	7.874701994632674484e+01	3.241953786549600190e+05	8.517298106967328408e+01	8.087779622375108302e+05	7.223851111210333897e+01
1.000000000000000000e+03	0.000000000000000000e+00	9.477657500000000823e+01	1.800520758001884465e-03	1.922739749999999859e+00	2.821350518811567955e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.560976461500000000e+09	1.118033988749894903e+00	6.283185307179585834e+03	9.477657500000000159e-11	8.733706969591551460e+05	1.292244736506181084e+02	6.874256133282384835e+05	5.866609006473107257e+01	3.575240036142377066e+05	8.336508503774962264e+01	7.748402332223452395e+05	5.221782556037902623e+01
1.200000000000000000e+03	0.000000000000000000e+00	9.222454999999999359e+01	1.924188140491040313e-03	1.670643500000000170e+00	2.037075109071451965e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.560976455000000000e+09	7.071067811865475727e-01	7.539822368615503365e+03	9.222454999999999561e-11	8.608124814357140567e+05	1.064874328400290722e+02	6.337480669263211312e+05	3.768976858189256518e+01	3.793436881814230001e+05	6.919834927142625247e+01	7.386056093044064473e+05	3.262006264678198164e+01
1.600000000000000000e+03	0.000000000000000000e+00	8.881832249999999362e+01	1.687162929295002792e-03	1.333589700000000100e+00	1.403352058465802096e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.560976458000000000e+09	7.071067811865475727e-01	1.005309649148733843e+04	8.881832249999999451e-11	8.397989938498535194e+05	8.980131515031118283e+01	5.375457513654113282e+05	1.770280622484280997e+01	4.030818109688545228e+05	5.522028023825816234e+01	6.718856905344361439e+05	1.484827781891192444e+01
2.000000000000000000e+03	0.000000000000000000e+00	8.655740000000000123e+01	1.124722187916156468e-03	1.123549750000000014e+00	1.192421381056833643e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.560976441250000000e+09	8.291561975888499525e-01	1.256637061435917167e+04	8.655739999999999466e-11	8.182643416003461462e+05	8.749072112465657369e+01	4.565788096211066586e+05	7.717454432154166710e+00	4.063716890338915982e+05	4.849294557300042641e+01	6.112300377462520264e+05	7.393760187422863339e+00
2.400000000000000000e+03	0.000000000000000000e+00	8.481824999999999193e+01	4.330127018910050413e-04	9.723367499999999719e-01	1.165512226448003175e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.560976474250000000e+09	8.291561975888499525e-01	1.507964473723100673e+04	8.481824999999999556e-11	8.040867056386029581e+05	9.647094878393887996e+01	3.907677546274502529e+05	2.436186659752050065e+00	4.018852055395934149e+05	4.686426905012997679e+01	5.605454098359743366e+05	5.193609797268265105e+00
3.200000000000000000e+03	0.000000000000000000e+00	8.237177499999999952e+01	1.098578627131955752e-03	7.876215000000000854e-01	7.849363031480300560e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.560976428750000000e+09	8.291561975888499525e-01	2.010619298297467685e+04	8.237177499999999290e-11	7.666094456764031202e+05	7.708067329861626149e+01	2.934952615481050452e+05	8.435088662210588950e+00	3.726349033744063927e+05	2.871238224658674554e+01	4.743376853719760547e+05	6.705209591124075885e+00
4.000000000000000000e+03	0.000000000000000000e+00	8.055803000000000225e+01	4.335320057369586874e-04	6.685370000000000479e-01	6.554769256044128828e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.560976434250000000e+09	8.291561975888499525e-01	2.513274122871834334e+04	8.055803000000000424e-11	7.387982446133499034e+05	7.254559350415178187e+01	2.282052924487380951e+05	8.731664867329268276e+00	3.413502804612730397e+05	2.071881151505516527e+01	4.106064654539719340e+05	6.153795799079390783e+00
5.000000000000000000e+03	0.000000000000000000e+00	7.882089249999999936e+01	6.698274031432975084e-04	5.693690000000000140e-01	5.515432893254547495e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.560976452000000000e+09	7.071067811865475727e-01	3.141592653589793190e+04	7.882089250000000043e-11	7.092755046309694881e+05	6.897084402120204061e+01	1.736421784633235075e+05	8.901188340652698372e+00	3.049730112867463613e+05	1.458064295761802320e+01	3.509417953946132911e+05	5.514357572737939250e+00
