#  Frequency Ave 	 Frequency Std 	 Capacitance Ave 	 Capacitance Std 	 Loss Ave 	 Loss Std 	 Voltage Ave 	 Voltage Std 	 Time Ave 	 Time Std 	 Frequency Ave 	 Capacitance Ave 	 Resistance Ave 	 Resistance Std 	 ReZ Ave 	 ReZ Std 	 ImZ Ave 	 ImZ Std 	 MagZ Ave 	 Magz Std 
#   Hz 	 Hz 	 pF 	 pF 	 tand 	 tand 	 V 	 V 	 s 	 s 	 rad s-1 	 F 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 
5.000000000000000000e+01	0.000000000000000000e+00	5.681124999999999545e+02	3.319709136355176060e+00	4.263524999999999565e+00	8.480971347670019853e-03	1.499999999999999869e-04	0.000000000000000000e+00	1.560978035000000000e+09	3.287095982778720327e+01	3.141592653589793258e+02	5.681124999999999859e-10	1.314156139630106976e+06	8.111891166674371561e+03	1.245630723164009163e+06	6.928749693856869271e+03	2.921598262386192218e+05	3.745161356842977511e+03	1.279434743376102298e+06	6.745699267812883591e+03
6.000000000000000000e+01	0.000000000000000000e+00	4.618349999999999795e+02	1.714489720004172213e+00	4.525300000000000544e+00	4.826489407426612192e-03	5.999999999999999474e-04	0.000000000000000000e+00	1.560977900250000000e+09	2.090902915010642005e+01	3.769911184307751455e+02	4.618349999999999877e-10	1.269213442010028986e+06	4.902357342690924270e+03	1.210120726432769094e+06	4.259462338042996635e+03	2.674122658017743379e+05	2.165593897915352954e+03	1.239314928677699529e+06	4.159135471844183485e+03
8.000000000000000000e+01	0.000000000000000000e+00	3.148524999999999636e+02	6.628866796067023337e-01	4.919425000000000381e+00	2.412856191321850405e-03	8.000000000000000383e-04	0.000000000000000000e+00	1.560978164000000000e+09	1.341640786499873883e+01	5.026548245743668986e+02	3.148524999999999733e-10	1.284424718130364316e+06	2.776623432644229069e+03	1.233456984669216210e+06	2.463463340188436632e+03	2.507319421821078577e+05	1.148883599274349990e+03	1.258682898850892903e+06	2.414101241126834339e+03
1.000000000000000000e+02	0.000000000000000000e+00	2.636082499999999982e+02	5.021794375519718079e-01	5.023550000000000182e+00	1.829617446353230814e-03	1.000000000000000021e-03	0.000000000000000000e+00	1.560977784000000000e+09	1.185326959112969725e+01	6.283185307179586516e+02	2.636082499999999929e-10	1.201850378107845783e+06	2.331018229998360766e+03	1.156041265559599968e+06	2.078040104232370140e+03	2.301243673417403770e+05	9.493495699644395245e+02	1.178723306005730061e+06	2.038061488756906783e+03
1.200000000000000000e+02	0.000000000000000000e+00	2.230724999999999909e+02	3.167313530422880552e-01	5.041224999999999845e+00	1.503953124269508460e-03	1.199999999999999895e-03	0.000000000000000000e+00	1.560977727000000000e+09	1.118033988749894903e+01	7.539822368615502910e+02	2.230724999999999811e-10	1.179388176990290638e+06	1.711128889755806313e+03	1.134737975135305431e+06	1.526572467552623493e+03	2.250917138463975862e+05	6.943919139248160945e+02	1.156847678761763964e+06	1.497405352076669715e+03
1.600000000000000000e+02	0.000000000000000000e+00	1.743437500000000000e+02	1.537601622657839007e-01	4.834150000000000169e+00	1.545153714036314949e-03	1.600000000000000077e-03	0.000000000000000000e+00	1.560977840000000000e+09	7.382411530116700149e+00	1.005309649148733797e+03	1.743437499999999957e-10	1.180249007207690505e+06	1.107157671383480647e+03	1.131816625664040912e+06	9.780244770472021401e+02	2.341293972392335418e+05	4.619138026986762497e+02	1.155779152252342086e+06	9.577571963828843309e+02
2.000000000000000000e+02	0.000000000000000000e+00	1.509622499999999832e+02	7.483105972790027316e-02	4.531000000000000583e+00	1.953202498462501546e-03	6.000000000000000125e-03	0.000000000000000000e+00	1.560977815000000000e+09	6.708203932499369415e+00	1.256637061435917303e+03	1.509622499999999819e-10	1.163396394940371625e+06	7.642534771090566892e+02	1.109360235983076273e+06	6.630300634848857726e+02	2.448378362355056452e+05	3.258929353245532070e+02	1.136057084495718125e+06	6.474608341012669825e+02
2.400000000000000000e+02	0.000000000000000000e+00	1.341777500000000032e+02	5.212664865498590344e-02	4.114444999999999908e+00	2.052053849195892288e-03	7.199999999999999803e-03	0.000000000000000000e+00	1.560978108500000000e+09	6.264982043070833839e+00	1.507964473723100582e+03	1.341777500000000023e-10	1.201204978980356595e+06	7.593947751807493205e+02	1.134205820320941275e+06	6.389438154164631669e+02	2.756643533504375955e+05	3.425836692219640440e+02	1.167224776364010526e+06	6.208844862502238584e+02
3.200000000000000000e+02	0.000000000000000000e+00	1.198479999999999848e+02	2.492990172463984896e-02	3.575362499999999777e+00	9.269405320730533804e-04	9.599999999999999159e-03	0.000000000000000000e+00	1.560977957500000000e+09	3.354101966249684708e+00	2.010619298297467594e+03	1.198479999999999877e-10	1.160698121462841053e+06	3.858057596097822852e+02	1.076487148006980540e+06	3.076152381092700807e+02	3.010847565825789352e+05	1.932012639875327409e+02	1.117799897329836851e+06	2.962697482106264033e+02
4.000000000000000000e+02	0.000000000000000000e+00	1.121580000000000013e+02	1.528070678993887280e-02	3.179232500000000350e+00	1.014208435184839503e-03	1.200000000000000025e-02	0.000000000000000000e+00	1.560977752500000000e+09	3.354101966249684708e+00	2.513274122871834606e+03	1.121579999999999993e-10	1.115854565180076286e+06	3.870740817948876611e+02	1.015395179412501748e+06	2.898771568615863430e+02	3.193837441623101477e+05	2.047631220134697969e+02	1.064440391195900971e+06	2.765540928297695018e+02
