#  Frequency Ave 	 Frequency Std 	 Capacitance Ave 	 Capacitance Std 	 Loss Ave 	 Loss Std 	 Voltage Ave 	 Voltage Std 	 Time Ave 	 Time Std 	 Frequency Ave 	 Capacitance Ave 	 Resistance Ave 	 Resistance Std 	 ReZ Ave 	 ReZ Std 	 ImZ Ave 	 ImZ Std 	 MagZ Ave 	 Magz Std 
#   Hz 	 Hz 	 pF 	 pF 	 tand 	 tand 	 V 	 V 	 s 	 s 	 rad s-1 	 F 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 	 Ohm 
6.000000000000000000e+02	0.000000000000000000e+00	1.002553249999999991e+02	2.818133247382737135e-03	2.272085000000000132e+00	3.004579837514767234e-04	5.999999999999999778e-02	0.000000000000000000e+00	1.560978236500000000e+09	1.118033988749894903e+00	3.769911184307751682e+03	1.002553249999999942e-10	1.164492933698734036e+06	1.574318209241707223e+02	9.755245843492088607e+05	8.952481018263330270e+01	4.293521520318160183e+05	9.759353405664020897e+01	1.065829013080451172e+06	8.203622849494774982e+01
8.000000000000000000e+02	0.000000000000000000e+00	9.533537499999998488e+01	1.091730278044453087e-03	1.835219500000000004e+00	2.363075326772678540e-04	8.000000000000000167e-02	0.000000000000000000e+00	1.560978206500000000e+09	1.118033988749894903e+00	5.026548245743669213e+03	9.533537499999997696e-11	1.137072222522171680e+06	1.469901889819797702e+02	8.767553146939319558e+05	6.161585417929773456e+01	4.777386654260877986e+05	9.528434018611436329e+01	9.984658803820764879e+05	5.430624669313570507e+01
1.000000000000000000e+03	0.000000000000000000e+00	9.217792500000001610e+01	2.286235989568671106e-03	1.538857499999999989e+00	1.735475439180762661e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.560978245500000000e+09	1.118033988749894903e+00	6.283185307179585834e+03	9.217792500000000923e-11	1.122005016206197208e+06	1.295601709004192514e+02	7.888762856150058797e+05	3.878239848328392014e+01	5.126376455357340164e+05	8.339991602650738400e+01	9.408098371223321883e+05	3.289786130709611456e+01
1.200000000000000000e+03	0.000000000000000000e+00	8.998852500000000987e+01	1.269596392558584386e-03	1.338594500000000131e+00	1.125644259968562952e-04	1.000000000000000056e-01	0.000000000000000000e+00	1.560978232750000000e+09	8.291561975888499525e-01	7.539822368615503365e+03	8.998852500000001212e-11	1.101039034369230503e+06	9.388208602618726673e+01	7.066608058848589426e+05	1.852216287569149600e+01	5.279125275689231930e+05	5.781896567997161185e+01	8.820777354281465523e+05	1.552085779627782536e+01
1.600000000000000000e+03	0.000000000000000000e+00	8.693072499999999536e+01	1.028044259751666667e-03	1.075376750000000214e+00	9.115474480247062208e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.560978215750000000e+09	8.291561975888499525e-01	1.005309649148733843e+04	8.693072499999998934e-11	1.064060213474730263e+06	9.106906165536885567e+01	5.706253836429117946e+05	7.191870077446330001e+00	5.306283436413441086e+05	4.871121304527975582e+01	7.792174071035480592e+05	7.094106469368947288e+00
2.000000000000000000e+03	0.000000000000000000e+00	8.477597500000000252e+01	6.759252917292317723e-04	9.075569999999999471e-01	7.290061728132349198e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.560978226750000000e+09	8.291561975888499525e-01	1.256637061435917167e+04	8.477597499999999996e-11	1.034292634291618364e+06	8.348907591954851171e+01	4.671404240337616648e+05	5.475359209993759357e+00	5.147229584849895909e+05	3.753341246083353155e+01	6.950970434104744345e+05	5.841378139219003174e+00
2.400000000000000000e+03	0.000000000000000000e+00	8.313120000000000687e+01	9.797958971167893775e-04	7.927089999999999970e-01	6.025363059599780349e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.560978229750000000e+09	8.291561975888499525e-01	1.507964473723100673e+04	8.313120000000000912e-11	1.006308292150295689e+06	7.740335099786123862e+01	3.883299203642762732e+05	8.835437723780152908e+00	4.898770171201237827e+05	2.911125186591376490e+01	6.251236829241355881e+05	6.928367144473360106e+00
3.200000000000000000e+03	0.000000000000000000e+00	8.070356250000000387e+01	5.113890397757755611e-04	6.445945000000000702e-01	5.479735395072716413e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.560978224000000000e+09	7.071067811865475727e-01	2.010619298297467685e+04	8.070356250000000133e-11	9.560725550035058986e+05	8.150176239686777535e+01	2.806425604798439308e+05	1.019329065205217333e+01	4.353784596049825777e+05	2.181868312513669750e+01	5.179909746710750624e+05	6.775950785643090946e+00
4.000000000000000000e+03	0.000000000000000000e+00	7.894051749999999856e+01	8.132765519755620837e-04	5.524039499999999769e-01	3.906798561480055357e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.560978210000000000e+09	7.071067811865475727e-01	2.513274122871834334e+04	7.894051749999999266e-11	9.124380670863225823e+05	6.521197050167937448e+01	2.133322321905208810e+05	8.788251861650099528e+00	3.861888246644885512e+05	1.307911239076583598e+01	4.411943444641254609e+05	5.298931416768596137e+00
5.000000000000000000e+03	0.000000000000000000e+00	7.722470000000001278e+01	8.602325267022578170e-04	4.733382499999999604e-01	2.803011773074324270e-05	1.000000000000000056e-01	0.000000000000000000e+00	1.560978249000000000e+09	7.071067811865475727e-01	3.141592653589793190e+04	7.722470000000001768e-11	8.708077723606325453e+05	5.247185765132061164e+01	1.593920512642345275e+05	6.744279742176789938e+00	3.367402724462571205e+05	7.799354116832058814e+00	3.725585015717663919e+05	3.833714286414112049e+00
