Freq.	Cap.	Loss	Voltage	Time
Hz	pF	tan d 	V	
50.000	8.043	11.735	0.00500	02-09-2019-15:16:18
50.000	8.035	11.757	0.00500	02-09-2019-15:16:38
50.000	8.042	11.755	0.00500	02-09-2019-15:16:58
50.000	8.0357	11.773	0.00500	02-09-2019-15:17:17
60.000	8.2647	9.5345	0.0150	02-09-2019-15:17:37
60.000	8.2665	9.5380	0.0150	02-09-2019-15:17:56
60.000	8.2666	9.5445	0.0150	02-09-2019-15:18:15
60.000	8.2643	9.5535	0.0150	02-09-2019-15:18:35
80.000	8.5806	6.9037	0.0200	02-09-2019-15:18:47
80.000	8.5806	6.9067	0.0200	02-09-2019-15:18:59
80.000	8.5791	6.9106	0.0200	02-09-2019-15:19:10
80.000	8.5804	6.9121	0.0200	02-09-2019-15:19:22
100.00	8.7539	5.4352	0.0250	02-09-2019-15:19:33
100.00	8.7523	5.4381	0.0250	02-09-2019-15:19:43
100.00	8.7529	5.4394	0.0250	02-09-2019-15:19:54
100.00	8.7522	5.4418	0.0250	02-09-2019-15:20:04
120.00	8.8360	4.51184	0.0300	02-09-2019-15:20:14
120.00	8.8366	4.51302	0.0300	02-09-2019-15:20:24
120.00	8.8367	4.51426	0.0300	02-09-2019-15:20:33
120.00	8.8361	4.51615	0.0300	02-09-2019-15:20:43
160.00	8.85869	3.41777	0.100	02-09-2019-15:20:50
160.00	8.8583	3.41873	0.100	02-09-2019-15:20:57
160.00	8.85787	3.41965	0.100	02-09-2019-15:21:04
160.00	8.85800	3.42041	0.100	02-09-2019-15:21:10
200.00	8.78504	2.79736	0.100	02-09-2019-15:21:17
200.00	8.78506	2.79791	0.100	02-09-2019-15:21:23
200.00	8.7851	2.79849	0.100	02-09-2019-15:21:29
200.00	8.78501	2.79914	0.100	02-09-2019-15:21:35
240.00	8.67364	2.39780	0.100	02-09-2019-15:21:41
240.00	8.67420	2.39814	0.100	02-09-2019-15:21:47
240.00	8.67451	2.39846	0.100	02-09-2019-15:21:54
240.00	8.67453	2.39896	0.100	02-09-2019-15:22:00
320.00	8.42448	1.909042	0.100	02-09-2019-15:22:03
320.00	8.42449	1.90922	0.100	02-09-2019-15:22:06
