Freq.	Cap.	Loss	Voltage	Time
Hz	pF	tan d 	V	
100.00	3.88343	0.040642	0.100	03-18-2019-12:50:43
100.00	3.88356	0.040686	0.100	03-18-2019-12:50:54
100.00	3.88363	0.040681	0.100	03-18-2019-12:51:04
100.00	3.88365	0.040693	0.100	03-18-2019-12:51:15
2400.0	3.68758	0.018907	0.100	03-18-2019-12:51:16
2400.0	3.68748	0.018934	0.100	03-18-2019-12:51:16
2400.0	3.68752	0.018863	0.100	03-18-2019-12:51:17
2400.0	3.68748	0.01889	0.100	03-18-2019-12:51:18
1600.0	3.70609	0.02065	0.100	03-18-2019-12:51:19
1600.0	3.70605	0.02067	0.100	03-18-2019-12:51:19
1600.0	3.7061	0.02066	0.100	03-18-2019-12:51:20
1600.0	3.70597	0.02065	0.100	03-18-2019-12:51:21
10000.0	3.63572	0.014711	0.100	03-18-2019-12:51:21
10000.0	3.6357	0.01472	0.100	03-18-2019-12:51:22
10000.0	3.63564	0.014757	0.100	03-18-2019-12:51:23
10000.0	3.63552	0.01469	0.100	03-18-2019-12:51:23
1200.0	3.719	0.0218	0.100	03-18-2019-12:51:24
1200.0	3.720	0.0220	0.100	03-18-2019-12:51:25
1200.0	3.720	0.0217	0.100	03-18-2019-12:51:25
1200.0	3.720	0.0220	0.100	03-18-2019-12:51:26
50.000	3.95243	0.049926	0.100	03-18-2019-12:51:47
50.000	3.95260	0.049931	0.100	03-18-2019-12:52:08
50.000	3.95266	0.049950	0.100	03-18-2019-12:52:28
50.000	3.95271	0.049970	0.100	03-18-2019-12:52:49
16000.0	3.6216	0.01367	0.100	03-18-2019-12:52:50
16000.0	3.6211	0.01370	0.100	03-18-2019-12:52:51
16000.0	3.6215	0.0137	0.100	03-18-2019-12:52:51
16000.0	3.6211	0.0137	0.100	03-18-2019-12:52:52
200.00	3.8283	0.03382	0.100	03-18-2019-12:52:58
200.00	3.82780	0.03370	0.100	03-18-2019-12:53:04
200.00	3.82748	0.03365	0.100	03-18-2019-12:53:10
200.00	3.82739	0.03372	0.100	03-18-2019-12:53:16
3200.0	3.67662	0.01805	0.100	03-18-2019-12:53:16
3200.0	3.6768	0.01800	0.100	03-18-2019-12:53:17
3200.0	3.67652	0.01801	0.100	03-18-2019-12:53:18
3200.0	3.67660	0.01795	0.100	03-18-2019-12:53:18
320.00	3.79489	0.02985	0.100	03-18-2019-12:53:21
320.00	3.7949	0.02990	0.100	03-18-2019-12:53:24
320.00	3.79541	0.02998	0.100	03-18-2019-12:53:28
320.00	3.79467	0.02998	0.100	03-18-2019-12:53:31
600.00	3.7565	0.02571	0.100	03-18-2019-12:53:32
600.00	3.75653	0.025637	0.100	03-18-2019-12:53:33
600.00	3.75623	0.02567	0.100	03-18-2019-12:53:34
600.00	3.7566	0.02571	0.100	03-18-2019-12:53:35
240.00	3.81417	0.03223	0.100	03-18-2019-12:53:40
240.00	3.81464	0.03215	0.100	03-18-2019-12:53:46
240.00	3.81470	0.03210	0.100	03-18-2019-12:53:52
240.00	3.81408	0.03209	0.100	03-18-2019-12:53:57
1000.0	3.72894	0.02288	0.100	03-18-2019-12:53:58
1000.0	3.7290	0.02287	0.100	03-18-2019-12:53:59
1000.0	3.7290	0.02284	0.100	03-18-2019-12:54:00
1000.0	3.72888	0.02288	0.100	03-18-2019-12:54:01
500.00	3.76696	0.026833	0.100	03-18-2019-12:54:04
500.00	3.766970	0.026789	0.100	03-18-2019-12:54:07
500.00	3.767033	0.026789	0.100	03-18-2019-12:54:10
500.00	3.76694	0.026796	0.100	03-18-2019-12:54:12
400.00	3.780567	0.028294	0.100	03-18-2019-12:54:15
400.00	3.78060	0.028310	0.100	03-18-2019-12:54:18
400.00	3.78049	0.028297	0.100	03-18-2019-12:54:21
400.00	3.78043	0.028317	0.100	03-18-2019-12:54:24
4000.0	3.6682	0.01728	0.100	03-18-2019-12:54:25
4000.0	3.66807	0.01727	0.100	03-18-2019-12:54:25
4000.0	3.66805	0.01731	0.100	03-18-2019-12:54:26
4000.0	3.66795	0.01728	0.100	03-18-2019-12:54:27
80.000	3.90487	0.043524	0.100	03-18-2019-12:54:38
80.000	3.90489	0.043440	0.100	03-18-2019-12:54:50
80.000	3.90480	0.043475	0.100	03-18-2019-12:55:02
80.000	3.90506	0.043466	0.100	03-18-2019-12:55:14
2000.0	3.69646	0.01976	0.100	03-18-2019-12:55:15
2000.0	3.69628	0.01979	0.100	03-18-2019-12:55:16
